bait_locus	prey_locus
JW3710	JW3712
JW3711	JW1394
JW3711	JW2627
JW3711	JW2947
JW3711	JW3488
JW3711	JW3709
JW3711	JW4331
JW3712	JW0167
JW3712	JW1142
JW3712	JW3451
JW3712	JW3709
JW3712	JW3710
JW3712	JW5091
JW3712	JW5787
JW3713	JW0280
JW3713	JW0459
JW3713	JW1057
JW3713	JW1870
JW3713	JW2092
JW3713	JW2433
JW3718	JW2627
JW3720	JW2947
JW3722	JW1961
JW3722	JW3722
JW3728	JW0167
JW3728	JW0794
JW3728	JW2725
JW3728	JW2989
JW3728	JW3728
JW3728	JW5543
JW3732	JW2989
JW3737	JW0205
JW3737	JW0453
JW3737	JW3011
JW3737	JW5584
JW3747	JW0743
JW3748	JW3748
JW3756	JW2956
JW3756	JW3756
JW3756	JW5559
JW3778	JW0213
JW3778	JW0945
JW3778	JW1256
JW3778	JW2989
JW3778	JW3098
JW3778	JW3746
JW3778	JW5185
JW3778	JW5543
JW3778	JW5702
JW3783	JW5550
JW3784	JW0063
JW3784	JW0835
JW3784	JW2947
JW3784	JW4342
JW3784	JW5212
JW3784	JW5328
JW3804	JW0659
JW3804	JW5787
JW3819	JW3459
JW3838	JW4060
JW3838	JW5052
JW3840	JW1142
JW3840	JW2947
JW3840	JW5073
JW3841	JW2725
JW3843	JW0714
JW3843	JW1165
JW3843	JW2989
JW3843	JW4331
JW3843	JW5818
JW3848	JW2725
JW3882	JW1394
